flight_id,airline_name,departure_city,arrival_city,flight_date,flight_time,status,delay_minutes,cancellation_reason,ticket_price,distance_km
F101,Air India,Delhi,Mumbai,2024-01-05,08:30,On Time,0,,4500,1150
F102,IndiGo,Chennai,Delhi,2024-01-05,09:10,Cancelled,0,Technical Issue,4200,1760
F103,SpiceJet,Kolkata,Bangalore,2024-01-06,14:45,Delayed,90,,3800,1600
F104,Vistara,Mumbai,Ahmedabad,2024-01-07,10:00,On Time,0,,2200,450
F105,Air India,Delhi,Hyderabad,2024-01-08,06:00,Cancelled,0,Weather,5000,1550
F106,IndiGo,Kochi,Chennai,2024-01-09,13:30,Delayed,45,,3000,700
F107,SpiceJet,Mumbai,Pune,2024-01-09,17:10,On Time,0,,1700,200
F108,Air India,Delhi,Mumbai,2024-01-10,12:00,Delayed,30,,4700,1150
F109,Vistara,Hyderabad,Chennai,2024-01-11,15:20,Cancelled,0,Crew Unavailable,3500,650
F110,GoAir,Chennai,Delhi,2024-01-12,11:00,On Time,0,,4000,1760
F111,IndiGo,Delhi,Mumbai,2024-01-13,07:00,On Time,0,,4600,1150
F112,GoAir,Kolkata,Delhi,2024-01-13,09:30,Delayed,15,,4100,1300
F113,Air India,Hyderabad,Mumbai,2024-01-14,16:45,On Time,0,,4300,1400
F114,Vistara,Bangalore,Delhi,2024-01-14,10:00,Delayed,20,,4800,1740
F115,SpiceJet,Mumbai,Kolkata,2024-01-15,18:30,Cancelled,0,Technical Issue,3900,2050
